,Time,Imports,Country,Tourist,Year
58,2015-02-08,14040250,NLD,3212,2015
59,2015-01-08,20306038,NLD,1412,2015
60,2014-12-08,12513468,NLD,2337,2014
61,2014-11-08,19282640,NLD,2322,2014
62,2014-10-08,22732314,NLD,25603,2014
63,2014-09-08,12560175,NLD,51580,2014
64,2014-08-08,22506010,NLD,71528,2014
65,2014-07-08,18782958,NLD,73649,2014
66,2014-06-08,9451054,NLD,48765,2014
67,2014-05-08,14075154,NLD,76448,2014
68,2014-04-08,2071796,NLD,26094,2014
69,2014-03-08,2587299,NLD,1527,2014
70,2014-02-08,2392684,NLD,1080,2014
71,2014-01-08,1623414,NLD,911,2014
72,2013-12-08,1504221,NLD,2815,2013
73,2013-11-08,1467989,NLD,2168,2013
74,2013-10-08,1633603,NLD,46464,2013
75,2013-09-08,2071331,NLD,47698,2013
76,2013-08-08,1393131,NLD,63274,2013
77,2013-07-08,2173784,NLD,78318,2013
78,2013-06-08,2100992,NLD,56331,2013
79,2013-05-08,1578307,NLD,48392,2013
80,2013-04-08,1671881,NLD,21636,2013
81,2013-03-08,1659467,NLD,2909,2013
82,2013-02-08,1663406,NLD,937,2013
83,2013-01-08,1042953,NLD,647,2013
84,2012-12-08,1694868,NLD,408,2012
85,2012-11-08,957856,NLD,558,2012
86,2012-10-08,1197564,NLD,23844,2012
87,2012-09-08,1511549,NLD,41697,2012
88,2012-08-08,1144741,NLD,104614,2012
89,2012-07-08,1376135,NLD,79898,2012
90,2012-06-08,1085360,NLD,43306,2012
91,2012-05-08,1417598,NLD,33275,2012
92,2012-04-08,1200369,NLD,13762,2012
93,2012-03-08,1822822,NLD,2401,2012
94,2012-02-08,1741281,NLD,722,2012
95,2012-01-08,1239252,NLD,314,2012
96,2011-12-08,1004593,NLD,416,2011
97,2011-11-08,1043776,NLD,1261,2011
98,2011-10-08,1537684,NLD,21009,2011
99,2011-09-08,1963389,NLD,37339,2011
100,2011-08-08,2052456,NLD,78090,2011
101,2011-07-08,2565882,NLD,71274,2011
102,2011-06-08,1631446,NLD,43948,2011
103,2011-05-08,2279441,NLD,80690,2011
104,2011-04-08,1524554,NLD,23029,2011
105,2011-03-08,1881650,NLD,2643,2011
106,2011-02-08,1499062,NLD,1399,2011
107,2011-01-08,1407294,NLD,1830,2011
108,2010-12-08,1469263,NLD,1206,2010
109,2010-11-08,2047883,NLD,2787,2010
110,2010-10-08,2078486,NLD,32368,2010
111,2010-09-08,2037149,NLD,31437,2010
112,2010-08-08,1892910,NLD,111530,2010
113,2010-07-08,2022857,NLD,44649,2010
114,2010-06-08,2303062,NLD,48584,2010
115,2010-05-08,2311078,NLD,25624,2010
116,2010-04-08,1995057,NLD,4841,2010
117,2010-03-08,2514463,NLD,1567,2010
118,2010-02-08,2871031,NLD,1625,2010
119,2010-01-08,970114,NLD,484,2010
120,2009-12-08,1870330,NLD,1625,2009
121,2009-11-08,1585903,NLD,1733,2009
122,2009-10-08,1470573,NLD,11352,2009
123,2009-09-08,1185888,NLD,36378,2009
124,2009-08-08,1533910,NLD,32587,2009
125,2009-07-08,1301355,NLD,54033,2009
126,2009-06-08,1656825,NLD,21395,2009
127,2009-05-08,2273415,NLD,28077,2009
128,2009-04-08,1822735,NLD,10956,2009
129,2009-03-08,2884541,NLD,920,2009
130,2009-02-08,1571574,NLD,2023,2009
131,2009-01-08,8820265,NLD,3033,2009
132,2008-12-08,1374502,NLD,1950,2008
133,2008-11-08,1909331,NLD,681,2008
134,2008-10-08,1991413,NLD,12497,2008
135,2008-09-08,2200902,NLD,41368,2008
136,2008-08-08,2188861,NLD,52009,2008
137,2008-07-08,7533090,NLD,42073,2008
138,2008-06-08,1889253,NLD,23174,2008
139,2008-05-08,2521280,NLD,24291,2008
140,2008-04-08,1928960,NLD,9716,2008
141,2008-03-08,2453788,NLD,2837,2008
142,2008-02-08,2129849,NLD,9847,2008
143,2008-01-08,1933860,NLD,2402,2008
144,2007-12-08,1126792,NLD,3110,2007
145,2007-11-08,1730261,NLD,3052,2007
146,2007-10-08,2043597,NLD,13943,2007
147,2007-09-08,1501790,NLD,27817,2007
148,2007-08-08,7314531,NLD,34859,2007
149,2007-07-08,2737189,NLD,44518,2007
150,2007-06-08,27895885,NLD,16810,2007
151,2007-05-08,2212636,NLD,28401,2007
152,2007-04-08,2215153,NLD,10920,2007
153,2007-03-08,2017421,NLD,3294,2007
154,2007-02-08,2095745,NLD,1831,2007
155,2007-01-08,9673505,NLD,2641,2007
156,2006-12-08,1748727,NLD,1948,2006
157,2006-11-08,12210450,NLD,3096,2006
158,2006-10-08,1956684,NLD,15258,2006
159,2006-09-08,2103775,NLD,25177,2006
160,2006-08-08,3594459,NLD,34275,2006
161,2006-07-08,2542079,NLD,42865,2006
162,2006-06-08,1947389,NLD,25830,2006
163,2006-05-08,1905316,NLD,26176,2006
164,2006-04-08,4407298,NLD,9972,2006
165,2006-03-08,1532953,NLD,1479,2006
166,2006-02-08,1922832,NLD,2361,2006
167,2006-01-08,1647765,NLD,3059,2006
168,2005-12-08,2673426,NLD,2049,2005
169,2005-11-08,1375408,NLD,6820,2005
170,2005-10-08,1595459,NLD,9575,2005
171,2005-09-08,2015088,NLD,23376,2005
172,2005-08-08,2222760,NLD,35042,2005
173,2005-07-08,2264682,NLD,37484,2005
174,2005-06-08,1935134,NLD,22022,2005
175,2005-05-08,2084953,NLD,28198,2005
176,2005-04-08,2121730,NLD,3532,2005
177,2005-03-08,2294978,NLD,2133,2005
178,2005-02-08,1686347,NLD,1000,2005
179,2005-01-08,1286554,NLD,807,2005
0,2019-12-08,6004349,BEL,1846,2019
1,2019-11-08,4320125,BEL,1975,2019
2,2019-10-08,4434106,BEL,14214,2019
3,2019-09-08,5029389,BEL,35823,2019
4,2019-08-08,4874936,BEL,41162,2019
5,2019-07-08,6310054,BEL,46952,2019
6,2019-06-08,6944714,BEL,46597,2019
7,2019-05-08,7332812,BEL,31116,2019
8,2019-04-08,4514989,BEL,30590,2019
9,2019-03-08,6000531,BEL,3785,2019
10,2019-02-08,5816359,BEL,1612,2019
11,2019-01-08,4909593,BEL,1467,2019
12,2018-12-08,5249906,BEL,2318,2018
13,2018-11-08,5824420,BEL,2160,2018
14,2018-10-08,10106726,BEL,14819,2018
15,2018-09-08,5492807,BEL,36469,2018
16,2018-08-08,6938037,BEL,39052,2018
17,2018-07-08,7293314,BEL,58209,2018
18,2018-06-08,7756457,BEL,41447,2018
19,2018-05-08,6975203,BEL,33619,2018
20,2018-04-08,7344051,BEL,23213,2018
21,2018-03-08,7048336,BEL,5570,2018
22,2018-02-08,8386365,BEL,2579,2018
23,2018-01-08,5438331,BEL,2416,2018
